artistID,artistName,artistPopularity,artistFollowers,artistGenre,date
21444lX8gpmOX36icLmbFI,Chris Liebing,28,108518,"frankfurt electronic, german techno, minimal techno, schranz, techno",2024-05-21
4YLtscXsxbVgi031ovDDdh,Chris Stapleton,79,6989944,"contemporary country, outlaw country",2024-05-21
1dbzT291PCwwYJK0l3Tr1n,Christina Novelli,47,48120,"trance, vocal trance",2024-05-21
04vj3iPUiVh5melWr0w3xT,Christine and the Queens,54,692430,"art pop, electro-pop francais, metropopolis, shimmer pop",2024-05-21
2mV8aJphiSHYJf43DxL7Gt,Chromeo,51,395760,"alternative dance, dance rock, filter house, indietronica, neo-synthpop, new rave, nu disco",2024-05-21
4x7gxsrTH3gThvSKZPPwaQ,Chuckie,38,128685,"dutch house, edm, electro house, melbourne bounce, progressive electro house",2024-05-21
3CjlHNtplJyTf9npxaPl5w,CHVRCHES,59,1382726,"indietronica, metropopolis, neo-synthpop, shimmer pop",2024-05-21
1QAJqy2dA3ihHBFIHRphZj,Cigarettes After Sex,80,11085095,"ambient pop, dream pop, el paso indie, shoegaze",2024-05-21
74gcBzlQza1bSfob90yRhR,City and Colour,54,862213,"canadian folk, canadian indie",2024-05-21
4mncDFjVLUa3s025Tct3Ry,Claptone,59,527067,"german house, german techno, progressive house",2024-05-21
6MDME20pz9RveH9rEXvrOM,Clean Bandit,71,5408855,"pop, uk dance, uk funky",2024-05-21
2h27SMMeQd7VEcbVwfu71E,Clockwork,3,534,,2024-05-21
161AC1AVRkIGIMxyj5djFQ,Clutch,51,554471,"funk metal, modern blues rock, southern metal, stoner metal, stoner rock",2024-05-21
3utxjLheHaVEd9bPjQRsy8,Coheed and Cambria,56,666146,modern alternative rock,2024-05-21
6VDdCwrBM4qQaGxoAyxyJC,Cold War Kids,57,864969,"indie rock, modern alternative rock, modern rock, piano rock, stomp and holler",2024-05-21
4gzpq5DPGxSnKTe4SA8HAU,Coldplay,85,50480668,"permanent wave, pop",2024-05-21
2wouN3QXejYa5tKetYdcVX,Com Truise,55,269819,"chillwave, indietronica, vaporwave",2024-05-21
2GHclqNVjqGuiE5mA7BEoc,Common,57,939512,"alternative hip hop, chicago rap, conscious hip hop, hardcore hip hop, hip hop, political hip hop",2024-05-21
683obsKtbyVNhitubjOZhi,Congorock,19,12736,fidget house,2024-05-21
1J0FSEQhWSMHcYqaapIjY6,Myles Kennedy And The Conspirators,47,29421,,2024-05-21
0vEsuISMWAKNctLlUAhSZC,Counting Crows,65,1749289,"neo mellow, pop rock, post-grunge, rock",2024-05-21
